id,lng,lat,depth,order
1120,-87.6409086,41.93918,1,23
1121,-87.6443617,41.9391506,7,27629
1122,-87.6492475,41.9390793,5,23851
1123,-87.6468325,41.9400024,1,8364
1124,-87.6468032,41.9391149,3,12271
1125,-87.6467815,41.9384095,1,24
1126,-87.6443225,41.9379094,11,29911
1127,-87.6489608,41.9378429,4,22895
1128,-87.6459871,41.9364638,3,22522
1129,-87.6418972,41.937695,2,13699
1130,-87.6418581,41.9365332,7,27534
1131,-87.6418255,41.9355619,9,28279
1132,-87.6417831,41.9343015,1,7503
1133,-87.6465204,41.9348367,4,23852
1134,-87.6442266,41.9348765,3,22896
1135,-87.6413919,41.9343084,3,23224
1136,-87.641346,41.9328677,1,10465
1137,-87.6427365,41.9328403,3,23548
1138,-87.6427801,41.9342839,8,27846
1139,-87.6380464,41.9356013,1,10466
1140,-87.6379603,41.9329322,1,8467
1141,-87.6380007,41.9343683,2,12272
1142,-87.6444328,41.9411399,3,22146
1143,-87.633249,41.9138084,1,5382
1144,-87.6134714,41.8376589,1,5888
1145,-87.6134593,41.8369782,2,12273
1146,-87.6134431,41.8360643,1,2954
1147,-87.6134301,41.8353274,3,19182
1148,-87.6170073,41.833622,4,24141
1149,-87.6170325,41.8346506,1,12274
1150,-87.609708,41.8347408,1,25
1151,-87.6145444,41.8376417,4,19781
1152,-87.6155133,41.8376304,2,13700
1153,-87.6170725,41.8365952,6,26679
1154,-87.6155367,41.8384444,1,6813
1155,-87.6174464,41.8365915,1,16891
1156,-87.6218708,41.8365023,2,12275
1157,-87.617402,41.8347646,7,27535
1158,-87.6218343,41.8347209,22,31726
1159,-87.6233379,41.8347059,28,31919
1160,-87.6233828,41.8364525,1,7504
1161,-87.6392358,41.9286598,2,16892
1162,-87.6839787,41.9322186,4,23853
1163,-87.6902044,41.9285232,11,30336
1164,-87.6873392,41.9270193,1,5889
1165,-87.6855789,41.9261802,3,21293
1166,-87.6841251,41.9252233,2,12276
1167,-87.6842627,41.9249527,1,5383
1168,-87.6819123,41.9249808,5,25728
1169,-87.6823159,41.9252065,2,14897
1170,-87.6851767,41.926707,3,20322
1171,-87.6870254,41.9291485,3,16893
1172,-87.6940906,41.9319425,2,19183
1173,-87.6944183,41.932132,1,5384
1174,-87.6965471,41.9321158,10,29825
1175,-87.6788568,41.9322671,1,2955
1176,-87.6539867,41.9362958,7,27847
1177,-87.6491236,41.9355832,1,9095
1178,-87.6539547,41.9353549,3,19782
1179,-87.646631,41.9327626,6,26545
1180,-87.646252,41.9344992,1,6653
1181,-87.6481426,41.9355966,3,13701
1182,-87.6493088,41.9410788,6,26546
1183,-87.6422159,41.9622695,1,26
1184,-87.6422432,41.9624973,3,18528
1185,-87.6746725,41.9669878,1,7505
1186,-87.6874661,41.9668348,4,23854
1187,-87.7010228,41.9661366,3,19184
1188,-87.8384379,41.9709551,1,6814
1189,-87.8410329,41.9709105,2,9784
1190,-87.8144855,41.9716363,1,2372
1191,-87.8169463,41.9715735,2,9785
1192,-87.611242,41.6446049,2,9786
1193,-87.6116085,41.6425274,1,27
1194,-87.6400498,41.9004638,2,12277
1195,-87.6186848,41.7729072,1,9096
1196,-87.6698093,41.875128,5,26680
1197,-87.8069605,41.9827665,9,29494
1198,-87.807035,41.9819472,2,14898
1199,-87.6777469,41.9207925,3,20323
